ID-T;PLAZA VINCULADA;% ÚTIL PRIV-T;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-TR-11;B2-PL-11;0,14%;12,44;7,32;7,32;11.784,09 €
B2-TR-12;B2-PL-12;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-13;B2-PL-13;0,19%;16,98;9,99;8;12.878,78 €
B2-TR-14;B2-PL-14;0,20%;17,88;10,52;8;12.878,78 €
B2-TR-15;B2-PL-15;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-16;B2-PL-16;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-17;B2-PL-17;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-18;B2-PL-18;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-19;B2-PL-19;0,13%;11,86;6,98;6,98;11.236,74 €
B2-TR-20;B2-PL-20;0,13%;11,83;6,96;6,96;11.204,54 €
B2-TR-21;B2-PL-21;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-22;B2-PL-22;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-23;B2-PL-23;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-24;B2-PL-24;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-25;B2-PL-25;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-26;B2-PL-26;0,19%;16,59;9,76;8;12.878,78 €
B2-TR-27;B2-PL-27;0,19%;16,59;9,76;8;12.878,78 €
B2-TR-28;B2-PL-28;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-29;B2-PL-29;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-30;B2-PL-30;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-31;B2-PL-31;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-32;B2-PL-32;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-33;B2-PL-33;0,13%;11,85;6,97;6,97;11.220,64 €
