GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B1-PL-28;B1-TR-28;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-28;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-29;B1-TR-29;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-29;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-30;B1-TR-30;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-30;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-31;B1-TR-31;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-31;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-32;B1-TR-32;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-32;0,14%;12,35;7,27;7,27;11.703,59 €
B1-PL-33;B1-TR-33;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-33;0,14%;12,35;7,27;7,27;11.703,59 €
B1-PL-34;B1-TR-34;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-34;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-35;B1-TR-35;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-35;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-36;B1-TR-36;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-36;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-37;B1-TR-37;0,27%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B1-TR-37;0,14%;12,35;7,27;7,27;11.703,59 €
B1-PL-38;B1-TR-38;0,27%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B1-TR-38;0,14%;12,35;7,27;7,27;11.703,59 €
B1-PL-39;B1-TR-39;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-39;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-40;B1-TR-40;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-40;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-41;B1-TR-41;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-41;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-42;B1-TR-42;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-42;0,14%;12,35;7,27;7,27;11.703,59 €
B1-PL-43;B1-TR-43;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-43;0,14%;12,35;7,27;7,27;11.703,59 €
B1-PL-44;B1-TR-44;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-44;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-45;B1-TR-45;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-45;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-46;B1-TR-46;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-46;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-47;B1-TR-47;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-47;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-48;B1-TR-48;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-48;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-01;B2-TR-01;0,35%;30,97;18,22;2,86;21,08;21,08;33.935,60 €;ABIERTO;B2-TR-01;0,18%;16,33;9,61;8;12.878,78 €
B2-PL-02;B2-TR-02;0,35%;31,02;18,25;2,87;21,12;21,12;33.999,99 €;ABIERTO;B2-TR-02;0,18%;16,01;9,42;8;12.878,78 €
B2-PL-03;B2-TR-03;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-03;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-04;B2-TR-04;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-04;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-05;B2-TR-05;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-05;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-06;B2-TR-06;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-06;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-07;B2-TR-07;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-07;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-08;B2-TR-08;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-08;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-09;B2-TR-09;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-09;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-10;B2-TR-10;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-10;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-11;B2-TR-11;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-11;0,14%;12,44;7,32;7,32;11.784,09 €
B2-PL-12;B2-TR-12;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-12;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-13;B2-TR-13;0,36%;32,17;18,93;2,97;21,9;21,9;35.255,67 €;ABIERTO;B2-TR-13;0,19%;16,98;9,99;8;12.878,78 €
B2-PL-14;B2-TR-14;0,38%;33,76;19,86;3,12;22,98;22,98;36.994,31 €;ABIERTO;B2-TR-14;0,20%;17,88;10,52;8;12.878,78 €
B2-PL-15;B2-TR-15;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-15;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-16;B2-TR-16;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-16;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-17;B2-TR-17;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-17;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-18;B2-TR-18;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-18;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-19;B2-TR-19;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-19;0,13%;11,86;6,98;6,98;11.236,74 €
B2-PL-20;B2-TR-20;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-20;0,13%;11,83;6,96;6,96;11.204,54 €
B2-PL-21;B2-TR-21;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-21;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-22;B2-TR-22;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-22;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-23;B2-TR-23;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-23;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-24;B2-TR-24;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-24;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-25;B2-TR-25;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-25;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-26;B2-TR-26;0,35%;31,46;18,51;2,91;21,42;21,42;34.482,94 €;ABIERTO;B2-TR-26;0,19%;16,59;9,76;8;12.878,78 €
B2-PL-27;B2-TR-27;0,35%;31,47;18,52;2,91;21,43;21,43;34.499,04 €;ABIERTO;B2-TR-27;0,19%;16,59;9,76;8;12.878,78 €
B2-PL-28;B2-TR-28;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-28;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-29;B2-TR-29;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-29;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-30;B2-TR-30;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-30;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-31;B2-TR-31;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-31;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-32;B2-TR-32;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-32;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-33;B2-TR-33;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-33;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-34;B2-TR-34;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-34;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-35;B2-TR-35;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-35;0,13%;11,85;6,97;6,97;11.220,64 €
