GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-PL-13;B2-TR-13;0,3623%;32,17;18,93;2,97;21,90;21,90;35.255,67 €;ABIERTO;B2-TR-13;0,1912%;16,98;9,99;8,00;12.878,78 €
B2-PL-14;B2-TR-14;0,3801%;33,76;19,86;3,12;22,98;22,98;36.994,31 €;ABIERTO;B2-TR-14;0,2013%;17,88;10,52;8,00;12.878,78 €
B2-PL-15;B2-TR-15;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-15;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-16;B2-TR-16;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-16;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-17;B2-TR-17;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-17;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-18;B2-TR-18;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-18;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-19;B2-TR-19;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-19;0,1336%;11,86;6,98;6,98;11.236,74 €
B2-PL-20;B2-TR-20;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-20;0,1332%;11,83;6,96;6,96;11.204,54 €
B2-PL-21;B2-TR-21;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-21;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-22;B2-TR-22;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-22;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-23;B2-TR-23;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-23;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-24;B2-TR-24;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-24;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-25;B2-TR-25;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-25;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-26;B2-TR-26;0,3542%;31,46;18,51;2,91;21,42;21,42;34.482,94 €;ABIERTO;B2-TR-26;0,1868%;16,59;9,76;8,00;12.878,78 €
B2-PL-27;B2-TR-27;0,3544%;31,47;18,52;2,91;21,43;21,43;34.499,04 €;ABIERTO;B2-TR-27;0,1868%;16,59;9,76;8,00;12.878,78 €
B2-PL-28;B2-TR-28;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-28;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-29;B2-TR-29;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-29;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-30;B2-TR-30;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-30;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-31;B2-TR-31;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-31;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-32;B2-TR-32;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-32;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-33;B2-TR-33;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-33;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-34;B2-TR-34;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-34;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-35;B2-TR-35;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-35;0,1334%;11,85;6,97;6,97;11.220,64 €
